【關於】,#genre#
靖洋卡通台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv057.stream/playlist.m3u8
靖天戲劇台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv058.stream/playlist.m3u8
靖天電影台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv061.stream/playlist.m3u8
靖天育樂台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv062.stream/playlist.m3u8
中視菁采[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv064.stream/playlist.m3u8
靖天國際台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv063.stream/playlist.m3u8
TVBS歡樂台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv068.stream/playlist.m3u8
ELTA娛樂(愛爾達娛樂台)[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv070.stream/playlist.m3u8
TVBS HD[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv073.stream/playlist.m3u8
CATCHPLAY電影台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv076.stream/playlist.m3u8
中視新聞[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv074.stream/playlist.m3u8
Trace Sport-Stars[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv077.stream/playlist.m3u8
中視經典[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv080.stream/playlist.m3u8
Trace Urban[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv082.stream/playlist.m3u8
Arirang Korea[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv079.stream/playlist.m3u8
Mezzo Live[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv083.stream/playlist.m3u8
智林體育台[1280*720],http://www.336699.live:1935/blockfour/4gtv-4gtv101.stream/playlist.m3u8
